Course Code,Course Name
SM234101,Calculus 1
EF234101,Fundamental Programming
EF234102,Digital System
EF234103,Linear Algebra
EF234104,Database System
EF234201,Data Structure
EF234202,Operating System
EF234203,Computer Organization
EF234204,Numerical Computation
SM234201,Calculus 2
EW234201,Introduction to Intelligent Electrical and Informatics Technology
EF234301,Web Programming
EF234302,Object Oriented Programming
EF234303,Computer Network
EF234304,Graph Theory
EF234305,Discrete Mathematics
EK234201,Artificial Intelligence Concepts
EF234307,Software Development Principles
EF234401,Network Programming
EF234402,Probabilistic and Statistic
EF234403,Automata
EF234404,Database Management
EF234405,Algorithm Design and Analysis
EF234406,Machine Learning
ER234301,Software Design
EF234501,Framework-based Programming
EF234502,Information Security
EF234503,Modeling and Simulation
EF234504,Computer Graphics
EF234505,Knowledge based Engineering
UG234914,English
UG234915,Technopreneurship
UG23490X,Religion
UG234913,Civics
EF234601,Mobile Programming
EF234602,Human and Computer Interaction
EF234622,Capstone Project
EF234603,Practical Work
UG234912,Indonesian
UG234911,Pancasila
UG234916,Applied Technology and Digital Transformation
EF234701,Professional Ethics
EF234702,Undergraduate Pre-Thesis
EF234801,Final Project
EF234506,Inter-Network Technology
EF234507,Wireless Network
EF234508,Distributed System
EF234509,Competitive Programming
EF234510,Operations Research
EF234511,Game Development Techniques
EF234513,Enterprise Systems
EF234514,Information Technology Governance
ER234504,Software Project Management
ER234201,Requirements Engineering
EF234517,Image Processing and Computer Vision
EF234518,Data Mining
EF234604,Mobile Computing
EF234605,Pervasive Computing and Sensor Networks
EF234606,Network Security
EF234607,Application Security
EF234608,Interface Based Programming
EF234609,Dynamic Systems Simulation
EF234610,Agent Based Simulation
EF234611,Forecasting Techniques
EF234612,Computer Animation and 3D Modeling
EF234613,Educational and Simulation Games
EF234614,User Experience Design
EF234615,System Audit
EF234616,Distributed Database
EF234617,Geographic Information Systems
ER234503,Software Quality
ER234402,Software Construction
EK234501,Text Mining
EF234619,Deep Learning
EF234618,Game Engine
EF234703,IoT Technology
EF234704,Cloud Computing
EF234705,Digital Forensics
EF234706,Signal Processing Programming
EF234707,Applied Science Data Programming
EF234708,Multivariate Data Analysis
EF234709,Object Oriented Simulation
EF234710,Intelligence Game
EF234711,Extended Reality
EF234712,Big Data
EF234713,Quantum Computing
EF234403,Software Architecture
EF234505,Software Evolution
EK234601,Robotics
EF234714,Special Topics in Algorithms and Programming
EF234715,Special Topics in Computer Architecture and Networks
EF234716,Special Topics in Graphics Interaction and Games
EF234717,Special Topics in Network-Based Computing
EF234718,Special Topics in Intelligent Computing and Vision
EF234719,Special Topics in Intelligent Information Management
EF234720,Special Topics in Modelling and Applied Computing
EF234721,Special Topics in Software Engineering
EF234722,Internship

